,gross,imdb,metascore,movie,votes,year
0,206852432,8.3,70,Batman Begins,1145123,2005
1,70511035,8.2,62,V for Vendetta,919884,2005
2,74103820,8.0,74,Sin City,704534,2005
3,380262555,7.6,68,Star Wars: Episode III - Revenge of the Sith,614004,2005
4,290013036,7.7,81,Harry Potter and the Goblet of Fire,460844,2005
5,186336279,6.5,55,Mr. & Mrs. Smith,400277,2005
6,234280354,6.5,73,War of the Worlds,375174,2005
7,206459076,6.7,72,Charlie and the Chocolate Factory,372191,2005
8,218080025,7.2,81,King Kong,355427,2005
9,109449237,7.1,73,The 40-Year-Old Virgin,350530,2005
10,291709845,6.9,75,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",326603,2005
11,193595521,6.9,57,Madagascar,313457,2005
12,209218368,7.0,64,Wedding Crashers,306122,2005
13,83043761,7.7,87,Brokeback Mountain,290093,2005
14,154696080,5.7,40,Fantastic Four,290058,2005
15,35818913,6.9,50,The Island,283241,2005
16,24149632,7.6,62,Lord of War,271036,2005
17,179495555,6.6,58,Hitch,270360,2005
18,75976178,7.0,50,Constantine,267442,2005
19,25514517,7.9,74,Serenity,263428,2005
20,47398413,7.2,63,Kingdom of Heaven,243306,2005
21,38405088,7.8,82,Pride & Prejudice,221810,2005
22,53359111,7.4,83,Corpse Bride,215912,2005
23,87039965,6.6,40,Saw II,211799,2005
24,119519402,7.9,72,Walk the Line,206348,2005
25,31493782,7.5,81,A History of Violence,205649,2005
26,24792061,7.6,71,Thank You for Smoking,203155,2005
27,4243756,7.6,72,Kiss Kiss Bang Bang,197298,2005
28,47403685,7.6,74,Munich,193901,2005
29,23089926,7.6,72,Match Point,186221,2005
30,26024456,7.2,71,The Descent,178338,2005
31,43095600,6.3,56,Transporter 2,174560,2005
32,51085416,6.8,63,The Hitchhiker's Guide to the Galaxy,172913,2005
33,61649911,8.0,69,Cinderella Man,162671,2005
34,62658220,7.0,58,Jarhead,158272,2005
35,47326473,5.9,55,Hostel,154333,2005
36,158119460,6.4,48,The Longest Yard,146142,2005
37,1007962,7.1,58,Hard Candy,143724,2005
38,89707299,6.3,53,Flightplan,139579,2005
39,344095,7.5,55,Green Street Hooligans,130712,2005
